# ZZ, ZT, RHO, THBAR, PBAR, PIBAR, QVBAR, Q1LS, Q2LS, RHOZ
5.400000000000000000e+03 5.300000000000000000e+03 6.820000000000000506e-01 3.251600000000000250e+02 5.325083600000000297e+04 8.349999999999999645e-01 2.560000000000000209e-03 -5.470000000000000144e-05 1.329999999999999998e-08 6.750000000000000444e-01
5.600000000000000000e+03 5.500000000000000000e+03 6.680000000000000382e-01 3.261820000000000164e+02 5.192714499999999680e+04 8.289999999999999591e-01 2.370000000000000145e-03 -5.440000000000000093e-05 1.269999999999999957e-08 6.610000000000000320e-01
5.800000000000000000e+03 5.700000000000000000e+03 6.540000000000000258e-01 3.272110000000000127e+02 5.063101600000000326e+04 8.229999999999999538e-01 2.180000000000000080e-03 -5.410000000000000041e-05 1.220000000000000006e-08 6.470000000000000195e-01
6.000000000000000000e+03 5.900000000000000000e+03 6.400000000000000133e-01 3.281999999999999886e+02 4.936191000000000349e+04 8.169999999999999485e-01 2.010000000000000068e-03 -5.379999999999999989e-05 1.159999999999999965e-08 6.340000000000000080e-01
6.200000000000000000e+03 6.100000000000000000e+03 6.270000000000000018e-01 3.291499999999999773e+02 4.811921499999999651e+04 8.110000000000000542e-01 1.860000000000000108e-03 -5.310000000000000321e-05 1.110000000000000013e-08 6.199999999999999956e-01
6.400000000000000000e+03 6.300000000000000000e+03 6.139999999999999902e-01 3.301070000000000277e+02 4.690241799999999785e+04 8.050000000000000488e-01 1.709999999999999932e-03 -5.239999999999999975e-05 1.049999999999999972e-08 6.069999999999999840e-01
6.600000000000000000e+03 6.500000000000000000e+03 6.009999999999999787e-01 3.310710000000000264e+02 4.571108999999999651e+04 8.000000000000000444e-01 1.559999999999999972e-03 -5.179999999999999871e-05 1.000000000000000021e-08 5.949999999999999734e-01
6.800000000000000000e+03 6.700000000000000000e+03 5.879999999999999671e-01 3.320120000000000005e+02 4.454476200000000244e+04 7.940000000000000391e-01 1.430000000000000064e-03 -5.119999999999999768e-05 9.489999999999999282e-09 5.819999999999999618e-01
7.000000000000000000e+03 6.900000000000000000e+03 5.759999999999999565e-01 3.329130000000000109e+02 4.340290600000000268e+04 7.880000000000000338e-01 1.319999999999999993e-03 -5.050000000000000100e-05 8.980000000000000009e-09 5.699999999999999512e-01
7.200000000000000000e+03 7.100000000000000000e+03 5.639999999999999458e-01 3.338210000000000264e+02 4.228505099999999948e+04 7.820000000000000284e-01 1.209999999999999921e-03 -4.970000000000000188e-05 8.490000000000000254e-09 5.580000000000000515e-01
7.400000000000000000e+03 7.300000000000000000e+03 5.520000000000000462e-01 3.347350000000000136e+02 4.119080099999999948e+04 7.760000000000000231e-01 1.110000000000000092e-03 -4.869999999999999790e-05 8.020000000000000016e-09 5.460000000000000409e-01
7.600000000000000000e+03 7.500000000000000000e+03 5.400000000000000355e-01 3.356569999999999823e+02 4.011977300000000105e+04 7.700000000000000178e-01 9.959999999999999236e-04 -4.770000000000000070e-05 7.549999999999999777e-09 5.340000000000000302e-01
7.800000000000000000e+03 7.700000000000000000e+03 5.290000000000000258e-01 3.364959999999999809e+02 3.907145300000000134e+04 7.640000000000000124e-01 9.200000000000000278e-04 -4.669999999999999672e-05 7.099999999999999884e-09 5.230000000000000204e-01
8.000000000000000000e+03 7.900000000000000000e+03 5.180000000000000160e-01 3.373299999999999841e+02 3.804532800000000134e+04 7.590000000000000080e-01 8.480000000000000124e-04 -4.580000000000000195e-05 6.649999999999999990e-09 5.120000000000000107e-01
8.200000000000000000e+03 8.100000000000000000e+03 5.070000000000000062e-01 3.381700000000000159e+02 3.704102700000000186e+04 7.530000000000000027e-01 7.759999999999999971e-04 -4.479999999999999797e-05 6.219999999999999614e-09 5.010000000000000009e-01
8.400000000000000000e+03 8.300000000000000000e+03 4.959999999999999964e-01 3.390169999999999959e+02 3.605819099999999889e+04 7.469999999999999973e-01 7.039999999999999817e-04 -4.300000000000000165e-05 5.799999999999999824e-09 4.899999999999999911e-01
8.600000000000000000e+03 8.500000000000000000e+03 4.849999999999999867e-01 3.398700000000000045e+02 3.509647699999999895e+04 7.409999999999999920e-01 6.319999999999999663e-04 -4.119999999999999856e-05 5.400000000000000378e-09 4.799999999999999822e-01
8.800000000000000000e+03 8.700000000000000000e+03 4.749999999999999778e-01 3.405609999999999786e+02 3.415530900000000111e+04 7.359999999999999876e-01 5.820000000000000520e-04 -3.949999999999999789e-05 5.000000000000000105e-09 4.699999999999999734e-01
9.000000000000000000e+03 8.900000000000000000e+03 4.650000000000000244e-01 3.412389999999999759e+02 3.323411299999999756e+04 7.299999999999999822e-01 5.349999999999999938e-04 -3.770000000000000158e-05 4.609999999999999590e-09 4.600000000000000200e-01
9.200000000000000000e+03 9.100000000000000000e+03 4.550000000000000155e-01 3.419209999999999923e+02 3.233256100000000151e+04 7.239999999999999769e-01 4.870000000000000197e-04 -3.600000000000000091e-05 4.229999999999999662e-09 4.500000000000000111e-01
9.400000000000000000e+03 9.300000000000000000e+03 4.450000000000000067e-01 3.426089999999999804e+02 3.145033799999999974e+04 7.189999999999999725e-01 4.400000000000000157e-04 -3.410000000000000216e-05 3.870000000000000078e-09 4.400000000000000022e-01
9.600000000000000000e+03 9.500000000000000000e+03 4.349999999999999978e-01 3.433029999999999973e+02 3.058714500000000044e+04 7.129999999999999671e-01 3.930000000000000117e-04 -3.180000000000000047e-05 3.530000000000000011e-09 4.309999999999999942e-01
9.800000000000000000e+03 9.700000000000000000e+03 4.259999999999999898e-01 3.439619999999999891e+02 2.974263300000000163e+04 7.069999999999999618e-01 3.510000000000000208e-04 -2.949999999999999877e-05 3.200000000000000117e-09 4.209999999999999853e-01
1.000000000000000000e+04 9.900000000000000000e+03 4.169999999999999818e-01 3.445360000000000014e+02 2.891635900000000038e+04 7.009999999999999565e-01 3.209999999999999963e-04 -2.720000000000000046e-05 2.879999999999999981e-09 4.119999999999999774e-01
